image_id,filename,file_number,scanner,scanner_label,num_mitoses,mitosis_coords,width,height
51,051.tiff,51,Hamamatsu-S360,Scanner_B,4,"[[6549, 2736, 6599, 2786], [6240, 5209, 6290, 5259], [4506.5, 1780.5, 4556.5, 1830.5], [3140, -12, 3190, 38]]",7094,5370
52,052.tiff,52,Hamamatsu-S360,Scanner_B,9,"[[6380, 174, 6430, 224], [4987, 1201, 5037, 1251], [5644, 1024, 5694, 1074], [575, 2850, 625, 2900], [464, 3531, 514, 3581], [1490, 3155, 1540, 3205], [1795.5, 1022.5, 1845.5, 1072.5], [4767.5, 1671.5, 4817.5, 1721.5], [3215.5, 3213, 3265.5, 3263]]",7112,5352
53,053.tiff,53,Hamamatsu-S360,Scanner_B,11,"[[3437, 2265, 3487, 2315], [4629, 1940, 4679, 1990], [1569, 4602.5, 1619, 4652.5], [5731.5, 3336.5, 5781.5, 3386.5], [3842.5, 4234.5, 3892.5, 4284.5], [5841.5, 3943, 5891.5, 3993], [5247.5, 2453.5, 5297.5, 2503.5], [6729.5, 2592.5, 6779.5, 2642.5], [2688.5, 1502.5, 2738.5, 1552.5], [3676, 3997.5, 3726, 4047.5], [6149, 3744, 6199, 3794]]",7124,5303
54,054.tiff,54,Hamamatsu-S360,Scanner_B,27,"[[4284, 1300, 4334, 1350], [678, 2926, 728, 2976], [3527, 2806, 3577, 2856], [2031, 3245, 2081, 3295], [129, 4881, 179, 4931], [6129, 5066, 6179, 5116], [6499, 4779, 6549, 4829], [4018.5, 4889, 4068.5, 4939], [2059, 3205, 2109, 3255], [295, 4672.5, 345, 4722.5], [1838, 2576.5, 1888, 2626.5], [5534.5, 1531.5, 5584.5, 1581.5], [3348, 2631.5, 3398, 2681.5], [1001.5, 1913.5, 1051.5, 1963.5], [2302.5, 920.5, 2352.5, 970.5], [908.5, 1333.5, 958.5, 1383.5], [18.5, 1871.5, 68.5, 1921.5], [59.5, 1388, 109.5, 1438], [5564, 4605, 5614, 4655], [3898, 906, 3948, 956], [5699, 3094, 5749, 3144], [6080, 4997.5, 6130, 5047.5], [5378.5, 3045, 5428.5, 3095], [5721, 1828.5, 5771, 1878.5], [3675, 318.5, 3725, 368.5], [4955, 4766, 5005, 4816], [4590, 1424, 4640, 1474]]",7170,5350
55,055.tiff,55,Hamamatsu-S360,Scanner_B,8,"[[525, 0, 575, 50], [420, 183, 470, 233], [3225, 116, 3275, 166], [273, 940, 323, 990], [4641, 1654, 4691, 1704], [3136, 3156, 3186, 3206], [2848, 4438, 2898, 4488], [3084, 4068, 3134, 4118]]",7165,5352
56,056.tiff,56,Hamamatsu-S360,Scanner_B,95,"[[1001, 685, 1051, 735], [3318, 754, 3368, 804], [4531, 706, 4581, 756], [5773, 204, 5823, 254], [6639, 2291, 6689, 2341], [1532, 2870, 1582, 2920], [2259, 2549, 2309, 2599], [3311, 2826, 3361, 2876], [2878, 2561, 2928, 2611], [3395, 2375, 3445, 2425], [660, 3327, 710, 3377], [6510, 3723, 6560, 3773], [6317, 3492, 6367, 3542], [5851, 3550, 5901, 3600], [6911, 3745, 6961, 3795], [6313, 4386, 6363, 4436], [21, 5278, 71, 5328], [405, 5281, 455, 5331], [4909, 4701, 4959, 4751], [6897, 4611, 6947, 4661], [6197, 4630, 6247, 4680], [4995, 5001, 5045, 5051], [2665, 2178, 2715, 2228], [1792, 2494.5, 1842, 2544.5], [5670.5, 2919.5, 5720.5, 2969.5], [371.5, 3244.5, 421.5, 3294.5], [4351.5, 1434.5, 4401.5, 1484.5], [2763.5, 3261.5, 2813.5, 3311.5], [12.5, 4917, 62.5, 4967], [291.5, 3216.5, 341.5, 3266.5], [1859.5, 4134.5, 1909.5, 4184.5], [2117, 638, 2167, 688], [6533.5, 3934, 6583.5, 3984], [3279.5, 4453.5, 3329.5, 4503.5], [3005, 3696.5, 3055, 3746.5], [5216, 2489.5, 5266, 2539.5], [4127, 2755.5, 4177, 2805.5], [5072.5, 1777.5, 5122.5, 1827.5], [6027, 4710.5, 6077, 4760.5], [5526.5, 3922.5, 5576.5, 3972.5], [4186, 997.5, 4236, 1047.5], [6897, 804.5, 6947, 854.5], [3710, 2293.5, 3760, 2343.5], [-6, 4843.5, 44, 4893.5], [4613, 798, 4663, 848], [6271, 4344.5, 6321, 4394.5], [5990, 3330.5, 6040, 3380.5], [4783, 3792.5, 4833, 3842.5], [5542.5, 4170.5, 5592.5, 4220.5], [4293.5, 1810.5, 4343.5, 1860.5], [1848, 3081, 1898, 3131], [5287, 540, 5337, 590], [3831.5, 3694, 3881.5, 3744], [3221.5, 423, 3271.5, 473], [6492.5, 4598.5, 6542.5, 4648.5], [1979, 2530.5, 2029, 2580.5], [3207, 2156, 3257, 2206], [6911.5, 3901.5, 6961.5, 3951.5], [2763, 3663.5, 2813, 3713.5], [3145.5, 2839.5, 3195.5, 2889.5], [3259.5, 3301.5, 3309.5, 3351.5], [2302.5, 4064, 2352.5, 4114], [2984, 1869, 3034, 1919], [1824.5, 2542, 1874.5, 2592], [5842, 4128.5, 5892, 4178.5], [3174.5, 4869.5, 3224.5, 4919.5], [4378, 3697, 4428, 3747], [1044, 2770.5, 1094, 2820.5], [3244.5, 141.5, 3294.5, 191.5], [2518, 4314, 2568, 4364], [2289, 2407, 2339, 2457], [3193, 1258, 3243, 1308], [388.5, 511.5, 438.5, 561.5], [6899, 455, 6949, 505], [448, 3299.5, 498, 3349.5], [1373.5, 4060, 1423.5, 4110], [3993, 2436.5, 4043, 2486.5], [5002, 31, 5052, 81], [4607, 558.5, 4657, 608.5], [3667, 2662, 3717, 2712], [1598, 1934.5, 1648, 1984.5], [2684.5, 3711.5, 2734.5, 3761.5], [279.5, 671.5, 329.5, 721.5], [4750.5, 3250.5, 4800.5, 3300.5], [1850.5, 1425, 1900.5, 1475], [2164.5, 3842.5, 2214.5, 3892.5], [4567, 3380, 4617, 3430], [4825.5, 2569.5, 4875.5, 2619.5], [796.5, 3777.5, 846.5, 3827.5], [4613, 3331, 4663, 3381], [5583.5, 1913.5, 5633.5, 1963.5], [4551.5, 2143.5, 4601.5, 2193.5], [4356, 920.5, 4406, 970.5], [4868.5, 4129, 4918.5, 4179], [1846, 1224, 1896, 1274]]",7120,5331
57,057.tiff,57,Hamamatsu-S360,Scanner_B,48,"[[988, 231, 1038, 281], [406, 199, 456, 249], [351, 540, 401, 590], [5757, 570, 5807, 620], [1054, 1483, 1104, 1533], [2690, 1365, 2740, 1415], [1715, 802, 1765, 852], [396, 2719, 446, 2769], [1441, 2462, 1491, 2512], [2891, 2904, 2941, 2954], [3344, 3418, 3394, 3468], [3609, 3101, 3659, 3151], [4701, 3892, 4751, 3942], [2057, 4873, 2107, 4923], [2264, 4767, 2314, 4817], [2944, 4947, 2994, 4997], [5387, 5046, 5437, 5096], [5901, 5034, 5951, 5084], [5802, 5101, 5852, 5151], [6703, 5188, 6753, 5238], [873, 2599.5, 923, 2649.5], [2095, 3880, 2145, 3930], [4961.5, 2267.5, 5011.5, 2317.5], [2372, 503, 2422, 553], [312.5, 4756.5, 362.5, 4806.5], [6257.5, 1634, 6307.5, 1684], [6452, 259.5, 6502, 309.5], [3777, 1102.5, 3827, 1152.5], [3752.5, 1047.5, 3802.5, 1097.5], [4908.5, 1353, 4958.5, 1403], [5732.5, 1954, 5782.5, 2004], [6006.5, 263.5, 6056.5, 313.5], [457.5, 3583, 507.5, 3633], [5971, 636.5, 6021, 686.5], [3293, 3666, 3343, 3716], [6645, 3725.5, 6695, 3775.5], [6681, 5073, 6731, 5123], [948, 908.5, 998, 958.5], [2624, 2046, 2674, 2096], [4446, 2453, 4496, 2503], [3864.5, 3209.5, 3914.5, 3259.5], [2271, 909, 2321, 959], [3317.5, 135.5, 3367.5, 185.5], [364.5, 3704.5, 414.5, 3754.5], [157, 3537, 207, 3587], [4136.5, 471, 4186.5, 521], [3016, 411.5, 3066, 461.5], [71.5, 2836.5, 121.5, 2886.5]]",7135,5330
58,058.tiff,58,Hamamatsu-S360,Scanner_B,31,"[[3972, 549, 4022, 599], [5356, 664, 5406, 714], [4701, 589, 4751, 639], [491, 1005, 541, 1055], [4065, 1996, 4115, 2046], [4096, 1651, 4146, 1701], [6301, 1897, 6351, 1947], [2275, 2859, 2325, 2909], [4138, 2296, 4188, 2346], [5929, 2672, 5979, 2722], [1549, 3547, 1599, 3597], [1006, 4636, 1056, 4686], [2989, 4424, 3039, 4474], [5538, 3961, 5588, 4011], [5290, 3947, 5340, 3997], [5456, 4303, 5506, 4353], [4807, 4603, 4857, 4653], [6151, 3882, 6201, 3932], [1184, 5155, 1234, 5205], [4164, 4681, 4214, 4731], [1381.5, 1741.5, 1431.5, 1791.5], [2293.5, 60, 2343.5, 110], [2259.5, 4929.5, 2309.5, 4979.5], [1873, 1916.5, 1923, 1966.5], [5033.5, 3090, 5083.5, 3140], [4469, 3373.5, 4519, 3423.5], [4063.5, 458, 4113.5, 508], [1380.5, 3324, 1430.5, 3374], [4272.5, 4136.5, 4322.5, 4186.5], [2534.5, 4146, 2584.5, 4196], [1375, 1140.5, 1425, 1190.5]]",7109,5359
59,059.tiff,59,Hamamatsu-S360,Scanner_B,54,"[[809, 403, 859, 453], [233, 251, 283, 301], [4224, 678, 4274, 728], [3779, 303, 3829, 353], [4871, 766, 4921, 816], [4321, 25, 4371, 75], [6843, 556, 6893, 606], [5936, 130, 5986, 180], [120, 923, 170, 973], [2223, 1097, 2273, 1147], [2512, 1169, 2562, 1219], [3932, 1001, 3982, 1051], [4215, 1135, 4265, 1185], [4765, 1492, 4815, 1542], [4288, 1312, 4338, 1362], [764, 2085, 814, 2135], [3525, 2063, 3575, 2113], [6963, 1758, 7013, 1808], [821, 3210, 871, 3260], [830, 3135, 880, 3185], [2750, 3205, 2800, 3255], [3040, 3808, 3090, 3858], [2929, 3443, 2979, 3493], [4526, 3264, 4576, 3314], [4862, 3729, 4912, 3779], [6209, 3191, 6259, 3241], [2809, 3978, 2859, 4028], [2857, 4051, 2907, 4101], [6386.5, 781.5, 6436.5, 831.5], [4265, 2495, 4315, 2545], [2983.5, 4917.5, 3033.5, 4967.5], [226.5, 1971, 276.5, 2021], [5430, 1572, 5480, 1622], [2190.5, 3066.5, 2240.5, 3116.5], [3910.5, 3.5, 3960.5, 53.5], [6895, 4225, 6945, 4275], [11.5, 1648.5, 61.5, 1698.5], [5980.5, 3761, 6030.5, 3811], [2888.5, 4179.5, 2938.5, 4229.5], [4846, 947, 4896, 997], [5035, 1658, 5085, 1708], [2782, 4036, 2832, 4086], [3108, 2288, 3158, 2338], [1976.5, 3710.5, 2026.5, 3760.5], [5605.5, 4764.5, 5655.5, 4814.5], [2794.5, 3618.5, 2844.5, 3668.5], [4520, -7, 4570, 43], [1035.5, 5050, 1085.5, 5100], [1124, 1982, 1174, 2032], [1919.5, 1124.5, 1969.5, 1174.5], [3295, 3220.5, 3345, 3270.5], [1676, 2759.5, 1726, 2809.5], [6689.5, 2934, 6739.5, 2984], [3770.5, 4315.5, 3820.5, 4365.5]]",7119,5301
60,060.tiff,60,Hamamatsu-S360,Scanner_B,45,"[[19, 289, 69, 339], [4111, 350, 4161, 400], [5620, 106, 5670, 156], [6519, 668, 6569, 718], [368, 1343, 418, 1393], [1768, 903, 1818, 953], [2607, 1105, 2657, 1155], [2893, 938, 2943, 988], [4232, 1027, 4282, 1077], [5015, 907, 5065, 957], [5580, 1145, 5630, 1195], [6458, 905, 6508, 955], [6625, 1367, 6675, 1417], [4204, 1955, 4254, 2005], [5439, 2011, 5489, 2061], [5131, 2062, 5181, 2112], [5809, 1903, 5859, 1953], [6240, 1817, 6290, 1867], [6570, 2104, 6620, 2154], [887, 2962, 937, 3012], [1925, 2893, 1975, 2943], [3640, 2961, 3690, 3011], [4568, 3084, 4618, 3134], [6093, 3703, 6143, 3753], [2861, 4299, 2911, 4349], [2297, 3859, 2347, 3909], [4008, 4163, 4058, 4213], [4280, 4155, 4330, 4205], [4574, 4144, 4624, 4194], [5767, 4011, 5817, 4061], [4556, 4009, 4606, 4059], [6176, 3937, 6226, 3987], [6247, 4076, 6297, 4126], [6000, 4240, 6050, 4290], [694, 4686, 744, 4736], [783, 5112, 833, 5162], [3313, 4950, 3363, 5000], [3686, 4953, 3736, 5003], [4871, 4737, 4921, 4787], [5254, 4778, 5304, 4828], [6084, 4842, 6134, 4892], [3176, 2389, 3226, 2439], [3761.5, 169.5, 3811.5, 219.5], [890.5, 3001.5, 940.5, 3051.5], [6316.5, 1788.5, 6366.5, 1838.5]]",7122,5295
