image_id,filename,file_number,scanner,scanner_label,num_mitoses,mitosis_coords,width,height
1,001.tiff,1,Hamamatsu-XR,Scanner_A,4,"[[4336, 346, 4386, 396], [756, 872, 806, 922], [270, 4044, 320, 4094], [6672.5, 706.5, 6722.5, 756.5]]",7215,5412
2,002.tiff,2,Hamamatsu-XR,Scanner_A,16,"[[1872, 319, 1922, 369], [4397, 191, 4447, 241], [1842, 1558, 1892, 1608], [3783, 2346, 3833, 2396], [5319, 3252, 5369, 3302], [6242, 3193, 6292, 3243], [7045, 3791, 7095, 3841], [4450, 4059, 4500, 4109], [4636, 4294, 4686, 4344], [1306, 4912, 1356, 4962], [4341, 5213, 4391, 5263], [3683, 5245, 3733, 5295], [1291.5, 2758, 1341.5, 2808], [3506.5, 2461.5, 3556.5, 2511.5], [4582, 2336, 4632, 2386], [2172, 3232.5, 2222, 3282.5]]",7215,5412
3,003.tiff,3,Hamamatsu-XR,Scanner_A,25,"[[1851, 731, 1901, 781], [2174, 797, 2224, 847], [2682, 648, 2732, 698], [1688, 469, 1738, 519], [1076, 396, 1126, 446], [1019, 806, 1069, 856], [3799, 562, 3849, 612], [4347, 563, 4397, 613], [4863, 431, 4913, 481], [994, 1425, 1044, 1475], [1085, 960, 1135, 1010], [5300, 2138, 5350, 2188], [4860, 2109, 4910, 2159], [2615, 3120, 2665, 3170], [3802, 2957, 3852, 3007], [1435, 3622, 1485, 3672], [3418, 3303, 3468, 3353], [3785, 3857, 3835, 3907], [3909, 3443, 3959, 3493], [3701, 4248, 3751, 4298], [3933, 4539, 3983, 4589], [3583, 4564, 3633, 4614], [4124, 3922, 4174, 3972], [4572, 2956, 4622, 3006], [6773, 3672, 6823, 3722]]",7215,5412
4,004.tiff,4,Hamamatsu-XR,Scanner_A,19,"[[2211, 740, 2261, 790], [2339, 598, 2389, 648], [349, 307, 399, 357], [584, 744, 634, 794], [4909, 709, 4959, 759], [1217, 1411, 1267, 1461], [600, 1097, 650, 1147], [1070, 1185, 1120, 1235], [3880, 1010, 3930, 1060], [287, 1682, 337, 1732], [1535, 1863, 1585, 1913], [928, 2360, 978, 2410], [1524, 2395, 1574, 2445], [2165, 2551, 2215, 2601], [4247, 2827, 4297, 2877], [2148, 3631, 2198, 3681], [2682, 3746, 2732, 3796], [4741, 3689, 4791, 3739], [2116, 2044.5, 2166, 2094.5]]",7215,5412
5,005.tiff,5,Hamamatsu-XR,Scanner_A,5,"[[1475, 2975, 1525, 3025], [6448, 2377, 6498, 2427], [2943, 3257, 2993, 3307], [4595, 3506, 4645, 3556], [3990, 4975, 4040, 5025]]",7215,5412
6,006.tiff,6,Hamamatsu-XR,Scanner_A,36,"[[1631, 385, 1681, 435], [1884, 716, 1934, 766], [780, 229, 830, 279], [604, 214, 654, 264], [476, 598, 526, 648], [10, 366, 60, 416], [30, 127, 80, 177], [3766, 135, 3816, 185], [3628, 759, 3678, 809], [112, 1039, 162, 1089], [679, 1545, 729, 1595], [2927, 1016, 2977, 1066], [2247, 974, 2297, 1024], [2124, 1385, 2174, 1435], [720, 1660, 770, 1710], [2688, 1639, 2738, 1689], [1966, 2259, 2016, 2309], [6794, 2200, 6844, 2250], [178, 2538, 228, 2588], [2729, 3619, 2779, 3669], [3173, 3737, 3223, 3787], [4293, 3167, 4343, 3217], [4414, 3246, 4464, 3296], [5595, 3689, 5645, 3739], [3923, 4604, 3973, 4654], [3392, 4316, 3442, 4366], [6487.5, 4622.5, 6537.5, 4672.5], [872.5, 1336.5, 922.5, 1386.5], [6912, 269.5, 6962, 319.5], [4677, 1368.5, 4727, 1418.5], [3573.5, 1640.5, 3623.5, 1690.5], [3524, 1853.5, 3574, 1903.5], [4818, 4129, 4868, 4179], [1297.5, 2773.5, 1347.5, 2823.5], [6069, 71.5, 6119, 121.5], [1393, 3714, 1443, 3764]]",7215,5412
7,007.tiff,7,Hamamatsu-XR,Scanner_A,40,"[[2598, 705, 2648, 755], [1794, 628, 1844, 678], [1083, 752, 1133, 802], [250, 120, 300, 170], [124, 761, 174, 811], [2894, 324, 2944, 374], [3564, 253, 3614, 303], [4205, 225, 4255, 275], [6943, 423, 6993, 473], [916, 931, 966, 981], [3735, 1055, 3785, 1105], [5219, 922, 5269, 972], [6223, 796, 6273, 846], [1153, 2039, 1203, 2089], [1485, 1748, 1535, 1798], [2256, 2117, 2306, 2167], [3006, 1798, 3056, 1848], [3648, 1955, 3698, 2005], [2063, 2460, 2113, 2510], [3380, 2538, 3430, 2588], [3788, 2565, 3838, 2615], [936, 3350, 986, 3400], [29, 3635, 79, 3685], [1103, 3882, 1153, 3932], [5568, 3173, 5618, 3223], [6968, 3528, 7018, 3578], [6276, 3771, 6326, 3821], [6064, 3733, 6114, 3783], [6873, 3298, 6923, 3348], [2021, 3944, 2071, 3994], [2032, 4406, 2082, 4456], [2985, 4434, 3035, 4484], [4053, 4305, 4103, 4355], [2799, 4994, 2849, 5044], [3587, 5154, 3637, 5204], [3976, 5102, 4026, 5152], [4373, 4996, 4423, 5046], [6656, 2790, 6706, 2840], [6897.5, 1979, 6947.5, 2029], [6582.5, 4857.5, 6632.5, 4907.5]]",7215,5412
8,008.tiff,8,Hamamatsu-XR,Scanner_A,21,"[[4387, 585, 4437, 635], [3914, 1189, 3964, 1239], [906, 1822, 956, 1872], [4081, 2158, 4131, 2208], [2258, 2732, 2308, 2782], [1636, 3514, 1686, 3564], [2300, 3334, 2350, 3384], [2122, 4030, 2172, 4080], [4655, 4246, 4705, 4296], [380, 5079, 430, 5129], [6266, 5340, 6316, 5390], [3123, 214, 3173, 264], [2903.5, 3051.5, 2953.5, 3101.5], [994, 5073, 1044, 5123], [3404, 3991, 3454, 4041], [3847.5, 4972.5, 3897.5, 5022.5], [862, 1504, 912, 1554], [763, 986, 813, 1036], [3824, -7.5, 3874, 42.5], [6395, 4507, 6445, 4557], [220.5, 4952.5, 270.5, 5002.5]]",7215,5412
9,009.tiff,9,Hamamatsu-XR,Scanner_A,26,"[[2805, 1019, 2855, 1069], [2366, 1939, 2416, 1989], [2275, 1572, 2325, 1622], [1981, 2508, 2031, 2558], [4253, 3178, 4303, 3228], [5269, 3272, 5319, 3322], [901, 3922, 951, 3972], [1204, 4172, 1254, 4222], [527, 3119.5, 577, 3169.5], [5060, 3740.5, 5110, 3790.5], [65.5, 3675.5, 115.5, 3725.5], [1594.5, 3035.5, 1644.5, 3085.5], [6294, 3424, 6344, 3474], [1375.5, 3302, 1425.5, 3352], [672, 4146, 722, 4196], [1599, 1707.5, 1649, 1757.5], [6691.5, 2749, 6741.5, 2799], [1836, 3209, 1886, 3259], [4557, 1273, 4607, 1323], [1680, 4500.5, 1730, 4550.5], [5609, 2266.5, 5659, 2316.5], [833.5, 1476.5, 883.5, 1526.5], [5053.5, 2677.5, 5103.5, 2727.5], [931, 919.5, 981, 969.5], [2122.5, 3044.5, 2172.5, 3094.5], [2772.5, 749, 2822.5, 799]]",7215,5412
10,010.tiff,10,Hamamatsu-XR,Scanner_A,30,"[[721, 147, 771, 197], [222, 441, 272, 491], [6009, 655, 6059, 705], [5408, 1238, 5458, 1288], [5241, 1412, 5291, 1462], [6708, 1526, 6758, 1576], [932, 1682, 982, 1732], [1410, 2227, 1460, 2277], [3179, 1871, 3229, 1921], [3739, 1755, 3789, 1805], [4872, 2084, 4922, 2134], [2225, 3044, 2275, 3094], [6061, 2540, 6111, 2590], [4417, 3477, 4467, 3527], [5377, 3384, 5427, 3434], [6205, 3558, 6255, 3608], [1358, 4031, 1408, 4081], [1645, 4470, 1695, 4520], [2550, 4426, 2600, 4476], [3248, 4427, 3298, 4477], [2202, 5351, 2252, 5401], [2636, 4813, 2686, 4863], [2928, 4989, 2978, 5039], [3838, 4703, 3888, 4753], [3670, 5199, 3720, 5249], [4918, 3321, 4968, 3371], [4430.5, 4704.5, 4480.5, 4754.5], [472.5, 1480, 522.5, 1530], [5066, 4564.5, 5116, 4614.5], [779, 4613.5, 829, 4663.5]]",7215,5412
11,011.tiff,11,Hamamatsu-XR,Scanner_A,3,"[[4008, 228, 4058, 278], [4014, 1967, 4064, 2017], [5620, 3265, 5670, 3315]]",7215,5412
12,012.tiff,12,Hamamatsu-XR,Scanner_A,14,"[[1414, 1481, 1464, 1531], [5452, 1881, 5502, 1931], [6177, 1795, 6227, 1845], [3693, 3599, 3743, 3649], [6885, 3387, 6935, 3437], [1801, 4412, 1851, 4462], [3731, 4028, 3781, 4078], [4199, 4056, 4249, 4106], [2691, 4812, 2741, 4862], [3362, 4723, 3412, 4773], [6522.5, 1217, 6572.5, 1267], [1339.5, 4051.5, 1389.5, 4101.5], [6725, 1202, 6775, 1252], [6770.5, 395.5, 6820.5, 445.5]]",7215,5412
